PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0007317399 uM,Activity at 0.00164 uM,Activity at 0.00366 uM,Activity at 0.00370 uM,Activity at 0.00818 uM,Activity at 0.018 uM,Activity at 0.041 uM,Activity at 0.091 uM,Activity at 0.092 uM,Activity at 0.204 uM,Activity at 0.457 uM,Activity at 1.022 uM,Activity at 2.286 uM,Activity at 5.111 uM,Activity at 11.43 uM,Activity at 25.56 uM,Activity at 57.14 uM,Compound QC
63,11110816,2419,COC1=CC=CC=C1N2CCN(CC2)CCN3C(=O)CC4(CCCC4)CC3=O,Inconclusive,20,,,Inhibitor,19.9526,38.1976,,Partial curve; partial efficacy,-4.7,1.8265,0.9842,-42.4856,-4.2881,-2.2,0 0 0 0 0 0 0,-38.738,,,-1.0734,,,-4.1138,,-4.5483,,,-4.8507,,-6.9198,,-15.1951,,-38.738,QC'd by SigmaAldrich
64,4238705,3233814,COC1=CC=C(C=C1)N2C3=NC(=NC=C3N=C(C2=O)C4=CC=CS4)N5CCOCC5,Inconclusive,20,,,Inhibitor,19.9526,37.5427,,Partial curve; partial efficacy; poor fit,-4.7,1.21,0.7855,-41.5427,-4,-2.4,0 0 0 0 0 0 0,-33.3689,,,3.0267,,,-13.5782,,-1.5438,,,-10.2222,,-3.6081,,-17.2246,,-33.3689,QC'd by Pharmacopeia
65,4239832,3234939,C1CN(CCC12CN(C2)CC3=CC=C(C=C3)C#N)C(=O)C4=CC=CO4,Inactive,0,,,Inactive,,,,,,,,,,4,,13.9444,,,-0.5477,,,-5.0603,,-5.446,,,-4.5718,,-9.8488,,-0.8239,,13.9444,QC'd by Pharmacopeia
66,17389116,,,Inactive,0,,,Inactive,,,,,,,,,,4,,-17.2945,-4.1272,8.4635,1.0432,,-0.6879,-2.2881,-1.7566,-2.1651,,-4.3396,-5.7992,-6.8829,-2.6134,3.9316,-6.8339,-11.4047,-17.2945,QC'd by null
67,26748601,16760684,C1=CC(=C(C=C1OC2=C(C=C(C=C2I)CC(C(=O)[O-])N)I)I)O.[Na+],Inconclusive,20,,,Inhibitor,,,,Single point of activity,,,,,,-3,,-35.1336,,,-15.9559,,,-15.9561,,-11.6274,,,-11.4177,,-5.5173,,6.7149,,-35.1336,QC'd by Microsource
68,4253515,3246373,CN(C)C1=CC2=C(C=C1)[NH+]=C3C(=CC(=O)C(=C3O2)O)C(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-10.3208,-6.0274,,-9.881,,,-8.1654,,-9.0755,,,-3.433,,-6.5706,,-10.3208,,,QC'd by NCI
69,11112145,1054,CC1=NC=C(C(=C1O)CO)CO,Inactive,0,,,Inactive,,,,,,,,,,4,,-2.2238,0.477,-4.4183,-1.0095,,-3.1236,1.4107,-1.6047,7.0719,,4.5156,0.4735,-1.5578,-1.8069,-3.2551,-5.8817,-2.2238,,QC'd by Prestwick
70,4237859,3232972,COC1=CC=CC=C1CNC2=NC(=NC=C2)C3=CC=CC=C3OC,Active,41,,,Inhibitor,15.8489,84.591,,Partial curve; high efficacy,-4.8,1.7137,0.9835,-88.4094,-3.8184,-2.1,0 0 0 0 0 0 0,-80.6065,,,2.5778,,,-7.6831,,-2.1203,,,-7.8983,,-9.3474,,-32.9138,,-80.6065,QC'd by Pharmacopeia
71,26752615,10682175,CN1C2=CC=CC=C2C(=O)C(=C1C3=CC=CC=C3)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-14.5641,-8.2417,,-10.0457,,,-9.299,,-11.8689,,,-9.2015,,-15.2252,,-14.5641,,,QC'd by BUCMLD
72,26749613,16682405,CC1C2CC[C@]3(C=CC(=O)C(=C3C2OC1=O)C)C,Inconclusive,20,,,Inhibitor,25.1189,48.4972,,Partial curve; partial efficacy,-4.6,1.7137,0.9531,-53.189,-4.6918,-2.2,0 0 0 0 0 0 0,-43.6994,,,-1.2017,,,-1.8073,,-10.9844,,,-3.0829,,-6.0789,,-14.6909,,-43.6994,QC'd by Microsource
73,4253387,3246324,C1COCCN1C[C@H](COC2=CC=CC3=CC=CC=C32)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-6.7265,-4.3964,,-6.5083,,,-8.431,,-6.2513,,,-8.1105,,-8.5993,,-6.7265,,,QC'd by NCI
74,17384872,3247294,CC1=CC(=NN1C)CNC(=O)[C@H](C)[C@@H]2C[C@@]2(C)[C@H](C3=CC=CC=C3)NC(=O)OCC4=CC=CC=C4,Active,86,,,Inhibitor,2.5119,111.967,,Complete curve; high efficacy,-5.6,1.1,0.9821,-117.621,-5.6545,-1.1,0 0 0 0 0 0 0,-106.42,,,-0.29,,,-7.0948,,-18.2335,,,-15.6612,,-56.8844,,-102.224,,-106.42,QC'd by UPCMLD
75,11110817,6603729,C=CCN1CCC2=C(C(=C(C=C2[C@@H](C1)C3=CC=CC=C3)O)O)Br,Inactive,0,,,Activator,19.9526,91.3641,,Partial curve; high efficacy,-4.7,1.9673,0.9513,90.8865,-0.4776,2.1,0 0 0 0 0 0 0,80.4254,,,,-9.9814,,8.512,,,5.221,,2.1426,,-7.4659,,24.4542,,80.4254,QC'd by SigmaAldrich
76,17389115,8816,CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Br-],Inactive,0,,,Inactive,,,,,,,,,,4,,-9.6776,-15.7799,-4.3266,-7.6676,,-5.4602,-7.1939,-5.5838,-5.3172,,-6.1518,-5.0288,-5.134,-4.4304,3.1617,-6.3961,-13.1146,-9.6776,QC'd by NIEHS/NTP
77,11110813,6101692,C[N+]1(CCC2=CC3=C(C=C2[C@@H]1[C@H]4C5=C(C6=C(C=C5)OCO6)C(=O)O4)OCO3)C,Active,42,,,Inhibitor,15.8489,99.7644,,Partial curve; high efficacy,-4.8,0.8,0.9217,-114.055,-14.2908,-2.1,0 0 0 0 0 0 0,-88.1179,,,,-16.7016,,-18.9431,,,-17.1964,,-4.9809,,-43.5819,,-54.1439,,-88.1179,QC'd by SigmaAldrich
78,4238706,3233815,CS(=O)(=O)N1CCC[C@]2(C1)CCN(C2)C3=CC=NC=C3,Active,43,,,Inhibitor,7.9433,94.3241,,Partial curve; high efficacy,-5.1,1.21,0.982,-109.819,-15.4953,-2.1,0 0 0 0 0 0 0,-102.356,,,-13.7317,,,-13.4703,,-25.0439,,,-12.5088,,-34.0546,,-71.071,,-102.356,QC'd by Pharmacopeia
79,4253518,266625,COC1=C(C=C(C(=C1)CC(=O)C2=CNC3=CC=CC=C32)Cl)OC,Active,46,,,Inhibitor,2.5119,111.742,,Partial curve; high efficacy,-5.6,1,0.9972,-114.953,-3.2113,-2.1,0 0 0 0 0 0 0,-93.9027,-3.6782,,-1.2009,,,-2.8987,,-10.4687,,,-19.4667,,-57.8832,,-93.9027,,,QC'd by NCI
80,4239833,3234940,CC1=CN=C(C=N1)CNC2=NC(=NC=C2)C3=CN=CC=C3,Active,43,,,Inhibitor,5.0119,79.7174,,Partial curve; partial efficacy,-5.3,0.8,0.9925,-71.0484,8.669,-2.2,0 0 0 0 0 0 0,-62.6812,,,10.6983,,,6.1619,,6.4003,,,-5.5356,,-17.3303,,-41.6384,,-62.6812,QC'd by Pharmacopeia
81,4237860,3232973,CC(=O)N1CCC[C@]2(C1)CCN(C2)C(=O)NC3=CC=CC=C3,Inactive,0,,,Inactive,,,,,,,,,,4,,-11.5504,,,-6.7206,,,-9.2403,,-6.7247,,,-5.4519,,-6.9921,,-4.1516,,-11.5504,QC'd by Pharmacopeia
82,11112144,3278,CCC(=C)C(=O)C1=C(C(=C(C=C1)OCC(=O)O)Cl)Cl,Inactive,0,,,Inactive,,,,,,,,,,4,,-0.1708,4.9534,2.5586,8.5732,,9.1166,10.007,7.0272,18.3382,,9.6641,6.989,10.809,4.815,-1.5718,-1.2909,-0.1708,,QC'd by Prestwick
83,26749610,97142,COC1=C(C=C(C=C1)C2=C(C(=O)C3=C(O2)C=C(C=C3OC)OC)O)OC,Active,85,,,Inhibitor,2.5119,86.1796,,Complete curve; high efficacy,-5.6,1.331,0.9985,-94.0117,-7.8321,-1.1,0 0 0 0 0 0 0,-94.4812,,,-9.9122,,,-7.1673,,-9.1572,,,-14.5184,,-47.9797,,-82.4343,,-94.4812,QC'd by Microsource
84,26752612,16759037,C/C(=C(\C(C1=CC=C(C=C1)Cl)NC(=O)OC)/C(=O)OC)/NCC2=CC=CC=C2,Inactive,0,,,Inactive,,,,,,,,,,4,,-24.6208,-4.0271,,-2.5256,,,-8.7673,,-9.2607,,,-9.62,,-3.9063,,-24.6208,,,QC'd by BUCMLD
85,17384871,3247286,C[C@H]([C@@H]1C[C@@]1(C)[C@H](C2=CC=CC=C2)NC(=O)OCC3=CC=CC=C3)C(=O)NC,Active,85,,,Inhibitor,2.5119,89.5733,,Complete curve; high efficacy,-5.6,1,0.9972,-92.754,-3.1806,-1.1,0 0 0 0 0 0 0,-90.4725,,,-4.2122,,,-4.5598,,-6.5383,,,-13.978,,-48.1722,,-74.5533,,-90.4725,QC'd by UPCMLD
86,4253390,3246325,C1=CC=C2C(=C1)[C@H](C3=C(C2=O)C=C(C=C3)Br)[C@H]4C5=C(C=C(C=C5)Br)C(=O)C6=CC=CC=C46,Inactive,0,,,Inactive,,,,,,,,,,4,,-4.7521,-0.9419,,0.5969,,,-0.4143,,-5.1756,,,-2.0203,,-0.2565,,-4.7521,,,QC'd by NCI
87,17389114,5993,C1C2C(C(C1Cl)Cl)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,Active,42,,,Inhibitor,15.8489,97.8052,,Partial curve; high efficacy,-4.8,1.4641,0.9563,-104.425,-6.6199,-2.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-89.1043,-14.5838,-5.8009,-5.9055,,7.095,-7.8043,-1.5937,-8.6087,,-4.3782,-10.3029,-14.0884,-20.7279,-16.3138,-43.5901,-75.7471,-89.1043,QC'd by NIEHS/NTP
88,26748599,4855,CCN1C=C(C(=O)C2=CN=C(N=C21)N3CCCC3)C(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-4.1871,,,-12.4355,,,-5.8925,,-5.5598,,,-4.2573,,2.6513,,25.9544,,-4.1871,QC'd by Microsource
89,4238707,3233816,CS(=O)(=O)NC1=CC=CC(=C1)C2=NC3=CC=CC=C3C(=N2)NC4CC4,Active,85,,,Inhibitor,3.1623,109.719,,Complete curve; high efficacy,-5.5,1.01,0.9994,-106.042,3.6774,-1.1,0 0 0 0 0 0 0,-101.94,,,3.1293,,,2.1206,,1.318,,,-9.6347,,-42.2068,,-80.767,,-101.94,QC'd by Pharmacopeia
90,4253517,3246376,C1[C@@H]([C@H](O[C@@H]1N2C=NC3=C(N=CN=C32)N)CN)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-10.4691,0.1572,,-7.3693,,,-2.4831,,-2.488,,,1.9488,,-1.14,,-10.4691,,,QC'd by NCI
91,4239834,3234941,COC1=NC=C2C(=N1)N(C(=O)C=N2)CCC3=CC=CC=C3,Inconclusive,21,,,Inhibitor,15.8489,42.661,,Partial curve; partial efficacy,-4.8,1.9673,0.9295,-47.2113,-4.5504,-2.2,0 0 0 0 0 0 0,-43.7312,,,-2.4239,,,-13.2088,,-1.0702,,,-1.6012,,-5.2391,,-19.8982,,-43.7312,QC'd by Pharmacopeia
92,26747621,5917,C1CCC2=NN=NN2CC1,Inactive,0,,,Inactive,,,,,,,,,,4,,-20.4655,,,-24.9489,,,-18.1834,,-10.2861,,,6.3284,,-14.1653,,-29.9992,,-20.4655,QC'd by Microsource
93,4237861,3232974,C1=CC(=CC(=C1)Cl)OC2=NC=C3C(=N2)N(C(=O)C(=N3)C4=CC=CS4)CCC#N,Inconclusive,21,,,Inhibitor,7.9433,34.8332,,Complete curve; partial efficacy,-5.1,4.5045,0.9328,-40.6218,-5.7886,-1.2,0 0 1 0 0 0 0,-40.5182,,,-7.4535,,,-12.6664,,-23.627,,,-9.752,,-1.4905,,-34.837,,-40.5182,QC'd by Pharmacopeia
94,11112143,667687,C[C@@H](CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C,Inactive,0,,,Inactive,,,,,,,,,,4,,-5.4842,-0.1417,-6.7313,-7.6683,,-3.5115,-0.5937,-1.7414,-2.3702,,-2.7644,-1.7133,-3.8088,-1.1063,-3.6597,-5.3152,-5.4842,,QC'd by Prestwick
95,26749611,16758034,C1=CC(=CC=C1O)O[C@@H]2C(C(C(C(O2)CO)O)O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-18.9015,,,-8.2545,,,-6.4257,,-13.5023,,,-10.4385,,-8.5365,,-12.2753,,-18.9015,QC'd by Microsource
96,17384870,3247279,C[C@H]([C@H]1C[C@]1(C)[C@@H](C2=CC=CC=C2)NC(=O)OCC3=CC=CC=C3)C(=O)NCC4=CC=CC=N4,Active,44,,,Inhibitor,5.0119,98.0306,,Partial curve; high efficacy,-5.3,1.111,0.9984,-105.193,-7.1623,-2.1,0 0 0 0 0 0 0,-99.6438,,,-8.8056,,,-7.1132,,-8.7492,,,-10.5527,,-37.1971,,-76.3866,,-99.6438,QC'd by UPCMLD
97,4253389,259766,C1=CC=C2C(=C1)C=CC=C2C3=NN=C(O3)C4=CC(=C(C=C4)Cl)Cl,Inactive,0,,,Inactive,,,,,,,,,,4,,-4.3521,-2.0382,,-1.0151,,,-1.9648,,-2.0449,,,-3.0293,,-2.1786,,-4.3521,,,QC'd by NCI
98,26752613,16759038,CCOC(=O)[C@@]1(CCCC1=O)C(C2=CC(=CC=C2)F)NC(=O)OC,Inactive,0,,,Inactive,,,,,,,,,,4,,-16.9477,-3.0882,,-8.4284,,,-11.3674,,-5.4138,,,-2.5606,,-8.4833,,-16.9477,,,QC'd by BUCMLD
99,4253392,3246327,C1=CN=C(N=C1)C[C@@H](C(=O)O)N,Inactive,0,,,Inactive,,,,,,,,,,4,,6.8093,-7.143,,-0.8774,,,-2.2028,,-12.5848,,,-3.5396,,-4.4859,,6.8093,,,QC'd by NCI
100,26749616,68073,CC(=O)C1=C(C=C(C=C1O)O)O,Active,45,,,Inhibitor,3.1623,90.9687,,Partial curve; partial efficacy,-5.5,0.4,0.9415,-96.4469,-5.4782,-2.2,0 0 0 0 0 0 0,-75.8078,,,-11.0328,,,-16.4224,,-19.2483,,,-44.3829,,-38.4167,,-64.0964,,-75.8078,QC'd by Microsource
101,4237870,3232983,CC(=O)NCCNC1=NC=NC=C1C2=CC=CC=C2CN(C)C,Inconclusive,21,,,Inhibitor,12.5893,68.9368,,Partial curve; partial efficacy,-4.9,1.2475,0.984,-57.3644,11.5724,-2.2,0 0 0 0 0 0 0,-49.0536,,,10.4876,,,7.8407,,16.6704,,,12.2282,,2.1919,,-19.1344,,-49.0536,QC'd by Pharmacopeia
102,17384869,3247271,C[C@H]([C@H]1C[C@]1(C)[C@@H](C2=CC=CC=C2)NC(=O)OCC3=CC=CC=C3)C(=O)OC,Active,43,,,Inhibitor,7.9433,90.5471,,Partial curve; high efficacy,-5.1,1.21,0.9905,-91.4967,-0.9496,-2.1,0 0 0 0 0 0 0,-82.9559,,,-4.3592,,,1.54,,-5.4353,,,1.2221,,-17.8572,,-54.9578,,-82.9559,QC'd by UPCMLD
103,4253528,3246377,CN1C2=C(C(=O)N(C1=O)C)NC(=N2)[C@H]3CC(=O)C[C@H](N3)C4=NC5=C(N4)C(=O)N(C(=O)N5C)C,Inactive,0,,,Inactive,,,,,,,,,,4,,2.951,-3.4607,,-1.8652,,,-1.6436,,1.1731,,,-3.2602,,-0.7458,,2.951,,,QC'd by NCI
104,11112142,4055,CC1=CC(=O)C2=CC=CC=C2C1=O,Inactive,0,,,Inactive,,,,,,,,,,4,,-28.8326,0.6806,-0.0971,-1.6168,,6.3409,-2.6833,-3.6274,1.1648,,-3.3629,1.9017,-6.0494,-6.8744,-9.2897,-16.5844,-28.8326,,QC'd by Prestwick
105,26748613,38904,C1CC(C1)(C(=O)O)C(=O)O.N.N.[Pt],Inactive,0,,,Inactive,,,,,,,,,,4,,-17.934,,,-5.3856,,,-10.2247,,-11.13,,,-10.1336,,-11.7729,,-4.5754,,-17.934,QC'd by Microsource
106,26747609,4583,CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-4.8921,,,-7.6067,,,-11.7421,,-5.9643,,,-8.2211,,-2.5278,,17.7429,,-4.8921,QC'd by Microsource
107,26752626,3620079,CC1=C(C=CC=C1OCC2=CC=CC=C2)OCC3=CC=CC=C3,Inactive,0,,,Inactive,,,,,,,,,,4,,-25.1726,-8.2316,,-13.2427,,,-11.3721,,-9.033,,,-13.361,,-8.9335,,-25.1726,,,QC'd by BUCMLD
108,26753596,9883259,CCC1=C(NC2=C1C(=O)C(CC2)CN3CCOCC3)C.Cl,Inconclusive,21,,,Inhibitor,12.5893,61.32,,Partial curve; partial efficacy,-4.9,1.9282,0.9944,-59.2986,2.0213,-2.2,0 0 0 0 0 0 0,-55.63,,,3.12,,,-1.2473,,1.8314,,,3.9437,,-0.1275,,-26.6031,,-55.63,QC'd by SigmaAldrich
109,4239827,3234934,CC(C)NC(=O)N1CCC2(CCN(CC2)C(=O)C3=CC=CO3)CC1,Inactive,0,,,Inactive,,,,,,,,,,4,,6.9146,,,-15.5259,,,-14.4066,,-8.4615,,,-8.5063,,-0.8236,,1.2191,,6.9146,QC'd by Pharmacopeia
110,4238708,3233817,COC1=CC2=C(C=C1)NC=C2CCNC3=NC(=NC4=CC=CC=C43)C5=CC=CC(=C5)C#N,Active,87,,,Inhibitor,1,84.3188,,Complete curve; high efficacy,-6,1.3723,0.9838,-87.3635,-3.0447,-1.1,0 0 0 0 0 0 0,-88.2569,,,2.1905,,,-13.4806,,-2.1212,,,-24.207,,-65.8464,,-84.7922,,-88.2569,QC'd by Pharmacopeia
111,17389113,9552079,C1=CC(=CC=C1N/C(=N/C(=NCCCCCCN=C(/N=C(/NC2=CC=C(C=C2)Cl)\N)N)N)/N)Cl,Inconclusive,20,,,Inhibitor,31.6228,61.2805,,Partial curve; partial efficacy,-4.5,2.7202,0.8245,-66.8194,-5.5389,-2.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-57.3171,-14.9903,-19.7608,1.3335,,-3.4134,-7.4381,-3.1694,-6.1651,,-5.332,-7.1563,-3.8307,-4.675,8.072,-12.1812,-25.3433,-57.3171,QC'd by NIEHS/NTP
112,4237871,3232984,C1CC2(CCN(CC2)C(=O)C3=CC(=CC=C3)F)CN(C1)CC4=CC=NC=C4,Inconclusive,23,,,Inhibitor,3.9811,66.2283,,Complete curve; partial efficacy,-5.4,1.8579,0.9687,-59.2283,7,-1.2,0 0 0 0 0 0 0,-58.5657,,,16.9399,,,7.2275,,2.4809,,,-0.7496,,-9.0807,,-51.0149,,-58.5657,QC'd by Pharmacopeia
113,4253391,3246326,C[N+](C)(C)C1=NC=NC2=C1N=CN2[C@@H]3C[C@@H]([C@H](O3)CO)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-7.5893,-3.2386,,-18.4313,,,-7.3913,,-9.2776,,,-6.6069,,-3.5907,,-7.5893,,,QC'd by NCI
114,17384868,5461857,C[C@H]([C@H]1C[C@]1(C)[C@@H](C2=CC=CC=C2)NC(=O)OCC3=CC=CC=C3)C(=O)NC4=CC5=CC=CC=C5C=C4,Active,86,,,Inhibitor,2.5119,93.5038,,Complete curve; high efficacy,-5.6,1.1,0.9948,-107.339,-13.835,-1.1,0 0 0 0 0 0 0,-105.461,,,-18.4127,,,-11.1717,,-14.136,,,-25.0536,,-60.4725,,-90.1522,,-105.461,QC'd by UPCMLD
115,11110829,4177957,CC1=C(C2=C(N1C(=O)C3=CC=CC=C3)C=CC(=C2)OC)CC(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,5.9143,,,3.8131,,,9.6271,,10.3586,,,5.846,,5.1108,,3.4272,,5.9143,QC'd by SigmaAldrich
116,11112141,6009,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C,Inactive,0,,,Inactive,,,,,,,,,,4,,-12.6601,-5.1337,-11.9789,,,,,-11.5149,,,,-5.3335,-10.1631,-8.4879,-11.7193,-16.5804,-12.6601,,QC'd by Prestwick
117,4253527,267103,CN1C2=C(C(=O)N(C1=O)C)NC(=N2)CS(=O)(=O)CC3=NC4=C(N3)C(=O)N(C(=O)N4C)C,Inactive,0,,,Inactive,,,,,,,,,,4,,2.4674,-4.3737,,-4.5931,,,-4.9379,,0.562,,,-1.1028,,-0.3654,,2.4674,,,QC'd by NCI
118,17389112,6537496,C1[C@H]([C@H](C(C[C@@]1(C(=O)O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-13.4295,-10.4041,-4.0332,1.1769,,3.564,-3.8899,2.6397,0.2616,,3.7393,-0.0983,2.3985,-4.8711,6.5777,-0.2524,-7.8839,-13.4295,QC'd by NIEHS/NTP
119,26747610,4583,CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-3.7748,,,-25.372,,,-12.6907,,-9.2485,,,-15.7421,,-10.225,,-2.4448,,-3.7748,QC'd by Microsource
120,26752627,16759049,CC1=CC=C(C=C1)S(=O)(=O)N/N=C/C2=CC=CC=C2C3=C(C=CC(=C3)OC)OC,Inconclusive,23,,,Inhibitor,3.1623,53.4831,,Partial curve; partial efficacy,-5.5,4.9549,0.9888,-59.6512,-6.1681,-2.2,0 0 0 0 0 0 0,-59.8746,-5.9569,,-2.8915,,,-9.7863,,-6.6447,,,-7.0806,,-13.6889,,-59.8746,,,QC'd by BUCMLD
121,4239828,3234935,C1CC2(CCN(CC2)C(=O)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F)CN(C1)CC4=NC=CS4,Active,41,,,Inhibitor,19.9526,99.3051,,Partial curve; high efficacy,-4.7,1.6604,0.998,-109.313,-10.0076,-2.1,0 0 0 0 0 0 0,-94.2672,,,-7.3462,,,-11.9741,,-9.4983,,,-10.3373,,-12.2616,,-38.9597,,-94.2672,QC'd by Pharmacopeia
122,26753597,824226,C1=CC(=CC=C1C2=NC3=C(N2)C=C(C=C3)C4=NC5=C(N4)C=C(C=C5)N)N,Active,90,,,Inhibitor,0.0631,79.7198,,Complete curve; high efficacy,-7.2,1.331,0.9823,-77.5541,2.1657,-1.1,0 0 0 0 0 0 0,-80.7717,,,,-2.0519,,-6.4655,,,-52.0714,,-64.3367,,-77.5918,,-79.56,,-80.7717,QC'd by SigmaAldrich
123,26749617,1403142,CC(=O)OC1=CC2=C(C(=C1)OC(=O)C)C(=O)C(=CO2)C3=CC=C(C=C3)OC,Inconclusive,20,,,Inhibitor,31.6228,47.5717,,Single point of activity,-4.5,1.7529,0.9834,-50.9769,-3.4052,-3,0 0 0 0 0 0 0,-39.1474,,,-3.5306,,,-4.3547,,-2.3466,,,-1.171,,-6.9778,,-9.5118,,-39.1474,QC'd by Microsource
124,4238709,3233818,C1C[C@@]2(CCN(C2)C3=CC=CC(=C3)C4=CC=CC=C4)CN(C1)C(=O)C5=CC=CO5,Active,42,,,Inhibitor,12.5893,104.375,,Partial curve; high efficacy,-4.9,1.111,0.9991,-100.83,3.545,-2.1,0 0 0 0 0 0 0,-84.0247,,,5.0746,,,3.1106,,2.6765,,,-0.5438,,-9.2435,,-46.3751,,-84.0247,QC'd by Pharmacopeia
125,4253530,3246379,C1=CC=C2C(=C1)C(=O)N(C2=O)[C@@H](CC3=CC(=C(C=C3)O)[N+](=O)[O-])C(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,6.9203,-3.281,,2.1382,,,1.2417,,-2.3836,,,-0.0611,,-0.0438,,6.9203,,,QC'd by NCI
126,26749614,16758035,CC(=CCCC1(C=CC2=C(O1)C(=C3C(=C2OC(=O)C)C(=O)C4=CC5CC6[C@]4(O3)C(C5=O)(OC6(C)C)C/C=C(\C)/C(=O)O)CC=C(C)C)C)C,Active,42,,,Inhibitor,12.5893,100.52,,Partial curve; high efficacy,-4.9,1.1341,0.9959,-109.257,-8.7366,-2.1,0 0 0 0 0 0 0,-94.7189,,,-9.8203,,,-6.6043,,-7.3619,,,-15.0488,,-20.5229,,-55.4257,,-94.7189,QC'd by Microsource
127,4237872,3232985,C1=CC=C(C=C1)CN2C3=NC=NC=C3N=C(C2=O)C4=CC(=CC=C4)Cl,Inactive,0,,,Inactive,,,,,,,,,,4,,-22.524,,,44.778,,,38.3158,,33.5829,,,25.6673,,24.1774,,8.8379,,-22.524,QC'd by Pharmacopeia
128,11112140,4993,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,Inactive,0,,,Activator,10,63.2007,,Partial curve; partial efficacy,-5,0.8,0.8657,65.2707,2.07,2.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0,50.1021,-2.5969,-0.1038,1.4234,,4.7609,1.1987,-7.025,16.157,,10.5326,9.6174,10.8109,13.4016,21.6826,31.7265,50.1021,,QC'd by Prestwick
129,11110826,6603733,C[C@@H](CC1=CNC2=C1C=C(C=C2)OCC3=CC=CS3)N,Inconclusive,21,,,Inhibitor,12.5893,44.5013,,Partial curve; partial efficacy,-4.9,1.6924,0.9759,-41.8282,2.6732,-2.2,0 0 0 0 0 0 0,-39.5682,,,6.9687,,,3.4567,,-0.9245,,,1.1527,,-0.5329,,-16.0565,,-39.5682,QC'd by SigmaAldrich
130,26748611,6780,C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3C2=O,Inactive,0,,,Inactive,,,,,,,,,,4,,-8.374,,,-6.661,,,-5.1014,,-4.6331,,,-4.9193,,0.0293,,5.3814,,-8.374,QC'd by Microsource
131,26752624,16759047,CC1=CC=C(C=C1)/C=C/C2=CC3(CC2(C(CC3=O)C4=CC=C(C=C4)C)C)C,Active,45,,,Inhibitor,3.9811,100.845,,Partial curve; high efficacy,-5.4,1.1,0.9614,-118.346,-17.5009,-2.1,0 0 0 0 0 0 0,-95.299,-10.4281,,-28.1974,,,-16.2885,,-15.4855,,,-29.7676,,-49.8908,,-95.299,,,QC'd by BUCMLD
132,17389111,6537496,C1[C@H]([C@H](C(C[C@@]1(C(=O)O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-15.1372,3.8201,-2.3636,0.0502,,-8.9287,-16.4475,1.3452,-1.483,,-4.5411,-1.0247,0.0555,-2.475,-1.3402,-4.9806,-22.6304,-15.1372,QC'd by NIEHS/NTP
133,4238710,3233819,C1CC2(CCN(CC2)C(=O)C3=CC=CO3)CN(C1)CC4=CC=CC=C4,Inconclusive,21,,,Inhibitor,12.5893,43.5365,,Partial curve; partial efficacy,-4.9,0.7,0.9309,-41.5365,2,-2.2,0 0 0 0 0 0 0,-31.2804,,,1.9383,,,-1.1645,,6.9036,,,-5.4925,,-9.2085,,-16.4241,,-31.2804,QC'd by Pharmacopeia
