PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Direction,Activity Qualifier,Qualified AC50,Log of AC50,Hill Coefficient,Curve R2,Data Type,Compound Type,Compound QC,Data Analysis QC,NCGC Comment,Curve Fit Model,Hill S0,Hill Sinf,Hill dS,Log AC50 Std Error,Curve Chi2f,Excluded Points,Number of Points,Activity at 0.732nM,Activity at 1.636nM,Activity at 3.658nM,Activity at 8.18nM,Activity at 18.291nM,Activity at 0.041uM,Activity at 0.091uM,Activity at 0.204uM,Activity at 0.457uM,Activity at 1.022uM,Activity at 2.286uM,Activity at 5.111uM,Activity at 11.429uM,Activity at 25.556uM,Activity at 0.057mM
52,4239457,3234564,C1OC2=C(O1)C=C(C=C2)C3=NC4=CC=CC=C4C(=N3)NC5=CC=CC=C5,Active,59,,,decreasing,=,1.26e-06,-5.9,1.1,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",1.3,-120.4,121.6,,,0 0 0 0 0 0 0,,,,-2.1,,5.6,,-5.8,,-29.8,,-79.5,,-108.9,,-119.6
53,4237791,3232904,CC1=CC(=CC=C1)CNC2=NC=NC(=C2)C3=CC=CC(=C3)C#N,Active,68,,,decreasing,=,1.58e-07,-6.8,1.1,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-13.4,-119.5,106.1,,,0 0 0 0 0 0 0,,,,-13.4,,-23.3,,-51.6,,-96.8,,-113,,-118.1,,-119.5
54,4239270,3234377,CC1=CC(=CC=C1)CNC2=NC=NC(=C2)C3=CN=CC=C3,Active,61,,,decreasing,=,7.94e-07,-6.1,0.8,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-0.5,-123.2,122.7,,,0 0 0 0 0 0 0,,,,-5.8,,-0.9,,-21.8,,-45.5,,-88.4,,-109,,-119.5
55,4238137,3233248,C1COCCN1CCNC2=NC(=NC3=CC=CC=C32)C4=CC=CC(=C4)C#N,Active,60,,,decreasing,=,1e-06,-6,1,0.99,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",2.4,-118.7,121.1,,,0 0 0 0 0 0 0,,,,-3.1,,1.1,,-2.3,,-37.2,,-82.2,,-105,,-119.5
56,4237699,3232812,COCCNC1=NC=NC2=C1C=C(C=C2)C3=CN=CC=C3,Active,67,,,decreasing,=,2e-07,-6.7,1.21,0.99,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",0.6,-118.9,119.5,,,0 0 0 0 0 0 0,,,,-5.7,,2.6,,-37,,-87.5,,-111.2,,-117.4,,-119.4
57,4239060,3234167,C1CC1NC2=NC(=NC=C2)C3=COC=C3,Active,66,,,decreasing,=,2.51e-07,-6.6,1.22,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",1.2,-118.9,120.1,,,0 0 0 0 0 0 0,,,,2.4,,-5.4,,-25.8,,-82.1,,-109.9,,-116.3,,-119.4
58,4240127,3235233,C1=CC=C(C(=C1)C2=NC=CC(=N2)NCC3=CC=CS3)Cl,Active,60,,,decreasing,=,1e-06,-6,1.11,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",6.3,-120,126.3,,,0 0 0 0 0 0 0,,,,6.2,,2.4,,-2.4,,-28.2,,-82.8,,-112.3,,-119.4
59,4238857,3233965,COC1=CC2=C(C=C1)NC=C2CCNC3=NC=NC=C3C4=CC(=CC=C4)OC,Active,57,,,decreasing,=,2e-06,-5.7,0.9,0.99,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",1.3,-125.5,126.8,,,0 0 0 0 0 0 0,,,,-4.2,,7.7,,-7.1,,-26,,-70.2,,-101.4,,-119.4
60,4237726,3232839,C1=CC=C(C=C1)CNC2=NC=NC3=C2C=C(C=C3)C4=CN=CC=C4,Active,69,,,decreasing,=,1.26e-07,-6.9,4.09,0.98,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-4.7,-114.1,109.4,,,0 0 0 0 0 0 0,,,,-1,,-3.5,,-34.7,,-100.5,,-115.8,,-118.5,,-119.2
61,4239944,3235051,CC1=C(C(=NO1)C)C2=NC=CC(=N2)NCC3=CC=CC=C3,Active,61,,,decreasing,=,7.94e-07,-6.1,1.37,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",1.9,-116.3,118.2,,,0 0 0 0 0 0 0,,,,-4.1,,5,,-3.3,,-34.1,,-91.9,,-112.8,,-119.2
62,4238758,3233867,CC1=NC2=CN=C(N=C2N(C1=O)C[C@H]3CCCO3)NC4=CC(=CC=C4)OC,Active,65,,,decreasing,=,3.16e-07,-6.5,1.1,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-3.2,-119.7,116.5,,,0 0 0 0 0 0,,,,-3.2,,,,-26.7,,-76.4,,-107.5,,-116.2,,-119.1
63,4240406,3235511,CN(C)C1=NC=NC2=C1C=C(C=C2)C3=COC=C3,Active,61,,,decreasing,=,7.94e-07,-6.1,1.42,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",2.5,-117.8,120.2,,,0 0 0 0 0 0 0,,,,-0.6,,3.6,,-2.6,,-33.5,,-93.2,,-115.5,,-119.1
64,4238756,3233865,CC(=O)NCCNC1=NC=NC2=C1C=C(C=C2)C3=CC(=CC=C3)OC,Active,35,,,decreasing,=,3.16e-06,-5.5,0.8,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",0,-132.6,132.6,,,0 0 0 0 0 0 0,,,,2.3,,-0.6,,-12,,-21.8,,-59.2,,-98.7,,-119.1
65,4239958,3235065,CNC1=NC(=NC2=CC=CC=C21)C3=CC=CC=C3OC,Active,64,,,decreasing,=,3.98e-07,-6.4,1.25,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-5,-117.5,112.5,,,0 0 0 0 0 0 0,,,,-6.9,,-4.2,,-20.8,,-68.5,,-104,,-115.2,,-119
66,4238043,3233155,CC1=C(C(=NO1)C)C2=CC(=NC=N2)NC3=CC=C(C=C3)F,Active,63,,,decreasing,=,5.01e-07,-6.3,1.01,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",3.6,-120.4,124,,,0 0 0 0 0 0 0,,,,0.5,,2.1,,-14.9,,-57.7,,-98.4,,-115.5,,-119
67,4239132,3234239,CN(C)C1=CC=C(C=C1)C2=CN=CN=C2NC3=CC=C(C=C3)F,Active,63,,,decreasing,=,5.01e-07,-6.3,1.11,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",1.2,-117.7,118.9,,,0 0 0 0 0 0 0,,,,-3.3,,0.5,,-12.7,,-56.2,,-97.7,,-113.5,,-119
68,4237485,3232598,CC1=CC=CC=C1C2=CC(=NC=N2)N(C)C,Active,57,,,decreasing,=,2e-06,-5.7,0.8,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",3.6,-127.1,130.7,,,0 0 0 0 0 0 0,,,,1.6,,2.1,,-5.2,,-30.4,,-62.6,,-102.1,,-119
69,4239406,3234513,CN(C)C1=CC=C(C=C1)C2=CN=CN=C2NCC3=CC=CS3,Active,64,,,decreasing,=,3.98e-07,-6.4,1.37,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-0.9,-116.7,115.8,,,0 0 0 0 0 0 0,,,,-4.7,,-0.8,,-14.1,,-61.8,,-106.1,,-115.9,,-118.9
70,4238592,3233702,CN(C)C1=NC(=NC2=CC=CC=C21)C3=CC(=CC=C3)NS(=O)(=O)C,Active,63,,,decreasing,=,5.01e-07,-6.3,1,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-8.2,-120.1,111.9,,,0 0 0 0 0 0 0,,,,-5.9,,-14.7,,-23.3,,-65,,-99.6,,-114.2,,-118.9
71,4238250,3233361,CC1=C(C(=NO1)C)C2=CC(=NC=N2)N(C)CC3=CC=CO3,Active,35,,,decreasing,=,3.16e-06,-5.5,0.8,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",1.2,-132.2,133.4,,,0 0 0 0 0 0 0,,,,-1.6,,2.8,,-9.6,,-20.4,,-58,,-98.6,,-118.8
72,4238126,3233237,CN1C=C(C2=CC=CC=C21)C3=NC4=CN=CN=C4N(C3=O)C5CC5,Active,67,,,decreasing,=,2e-07,-6.7,1.21,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-4,-118.8,114.8,,,0 0 0 0 0 0,,,,-3.3,,,,-37.8,,-90.2,,-113.2,,-116.3,,-118.7
73,4238613,3233723,C1=CC(=CN=C1)C2=NC=CC(=N2)NCC3=CC=CS3,Active,67,,,decreasing,=,2e-07,-6.7,1.46,0.99,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-7.2,-117.5,110.3,,,0 0 0 0 0 0 0,,,,-13.2,,-3.1,,-36.4,,-92.6,,-113.3,,-116.8,,-118.6
74,4239609,3234716,COCCN1C2=NC(=NC=C2N=C(C1=O)C3=CC=CC=C3)OCC4=CC=CC=C4,Active,60,,,decreasing,=,1e-06,-6,0.9,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",0.2,-120.4,120.6,,,0 0 0 0 0 0,,,,-3.2,,,,-8.7,,-41.8,,-80.1,,-108.3,,-118.6
75,4239641,3234748,CN(C)C(=O)C1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=N2)NC4=CC=CC=C4,Active,64,,,decreasing,=,3.98e-07,-6.4,0.9,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",1.2,-120.4,121.6,,,0 0 0 0 0 0 0,,,,2.5,,-9.5,,-22,,-65.4,,-100.2,,-114.7,,-118.5
76,4238750,3233859,COC1=CC=CC=C1CCN2C3=NC=NC=C3N=C(C2=O)C4=CC=CC=C4,Active,60,,,decreasing,=,1e-06,-6,1,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-1.9,-120.6,118.7,,,0 0 0 0 0 0,,,,-1.6,,,,-11.6,,-40.2,,-84.6,,-109.9,,-118.5
77,4240359,3235464,C1OC2=C(O1)C=C(C=C2)C3=CN=CN=C3NCC4=CC=CS4,Active,67,,,decreasing,=,2e-07,-6.7,1.21,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-1,-118.1,117.1,,,0 0 0 0 0 0 0,,,,-5.2,,-1.3,,-37.1,,-89.3,,-110.5,,-116.6,,-118.4
78,4239017,3234124,C1=CC=C2C(=C1)C(=NC(=N2)C3=COC=C3)NC4=CC=C(C=C4)F,Active,65,,,decreasing,=,3.16e-07,-6.5,1.42,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",2.4,-117.9,120.3,,,0 0 0 0 0 0 0,,,,2.6,,0.7,,-15.2,,-74.5,,-110.4,,-115.8,,-118.4
79,4239126,3234233,CC1=CC(=CC=C1)CNC2=NC(=NC=C2)C3=COC=C3,Active,57,,,decreasing,=,2e-06,-5.7,1.1,0.99,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-3,-124,120.9,,,0 0 0 0 0 0 0,,,,-11.3,,2.4,,-3.8,,-25.9,,-62.7,,-109.5,,-118.4
80,4237529,3232642,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC=CC(=C3)C#N)NCC4=CN=CC=C4,Active,66,,,decreasing,=,2.51e-07,-6.6,1.22,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-4.9,-118.4,113.5,,,0 0 0 0 0 0 0,,,,-5.9,,-8.6,,-30.1,,-83.3,,-110.2,,-117.5,,-118.3
81,11111809,8515,C1=CC=C2C(=C1)C3=NNC4=CC=CC(=C43)C2=O,Active,69,,,decreasing,=,1.26e-07,-6.9,1.79,1,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",1.3,-116.7,117.9,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,-2.2,-1.4,7.6,2.6,-6.8,-10.7,-44.2,-82.4,-107.1,-112.6,-115.3,-115.9,-116.5,-117.5,-118.2
82,4237538,3232651,COC1=CC=CC=C1C2=NC3=CC=CC=C3C(=N2)NCC4=CC=CS4,Active,62,,,decreasing,=,6.31e-07,-6.2,1,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-5,-120.5,115.5,,,0 0 0 0 0 0 0,,,,-6.1,,-6.8,,-20.3,,-54.9,,-98.6,,-112.5,,-118.2
83,4237845,3232958,COC1=CC=CC(=C1)C2=CN=CN=C2NC3=CC=CC=C3,Active,56,,,decreasing,=,2.51e-06,-5.6,0.8,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",3.7,-128.8,132.5,,,0 0 0 0 0 0 0,,,,1.1,,5.9,,-8.8,,-23,,-58.8,,-99.3,,-118.2
84,4238243,3233354,CNC1=NC=NC2=C1C=C(C=C2)C3=CC4=C(C=C3)OCO4,Active,31,,,decreasing,=,7.94e-06,-5.1,1.33,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",3.1,-130.1,133.2,,,0 0 0 0 0 0 0,,,,3.1,,5.3,,4.5,,-3.6,,-18.3,,-83.6,,-118.2
85,4237758,3232871,CC1=CC=CC=C1C2=CC3=C(C=C2)N=CN=C3NC4CC4,Active,69,,,decreasing,=,1.26e-07,-6.9,1.11,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-3,-116.3,113.3,,,0 0 0 0 0 0 0,,,,-7.6,,-12.3,,-50.5,,-93.9,,-110.2,,-115.8,,-118.1
86,4239113,3234220,CN1C=C(C2=CC=CC=C21)C3=NC4=CN=CN=C4N(C3=O)C5=CC=C(C=C5)OC,Active,65,,,decreasing,=,3.16e-07,-6.5,1.56,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",0,-117.3,117.3,,,0 0 0 0 0 0,,,,1.1,,,,-15.1,,-76.5,,-110.5,,-115.9,,-118.1
87,4240274,3235380,C1COCCN1C2=NC=C3C(=N2)N(C(=O)C=N3)CC4=CC=CS4,Active,56,,,decreasing,=,2.51e-06,-5.6,1,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-1.2,-123.4,122.2,,,0 0 0 0 0 0,,,,0.1,,,,-8.4,,-16.6,,-61.2,,-101.2,,-118.1
88,4239979,3235086,COC1=CC=CC(=C1)C2=CC3=C(C=C2)N=CN=C3NCC4=CN=CC=C4,Active,66,,,decreasing,=,2.51e-07,-6.6,1.34,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-3.1,-115.9,112.8,,,0 0 0 0 0 0 0,,,,-1.1,,-11.1,,-23.4,,-80.3,,-109,,-114.7,,-118
89,4239720,3234827,COCCNC1=NC=NC2=C1C=C(C=C2)C3=CC(=CC=C3)NS(=O)(=O)C,Active,61,,,decreasing,=,7.94e-07,-6.1,0.9,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",4.9,-120.9,125.8,,,0 0 0 0 0 0 0,,,,3.9,,2.8,,-13.1,,-43.5,,-87.9,,-108.5,,-118
90,11111612,1756,C1=CC=C(C=C1)C2=NO[N+](=C2C#N)[O-],Active,64,,,decreasing,=,3.98e-07,-6.4,1.01,1,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",1.2,-116.4,117.6,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,1.7,-0.7,-0.6,-1.7,-8,-3.7,-16.9,-39.3,-63.2,-82.6,-98.8,-107,-112.4,-115.1,-117.9
91,4239250,3234357,CC1=CC(=CC=C1)CNC2=NC=NC(=C2)C3=CC=CC=C3C,Active,57,,,decreasing,=,2e-06,-5.7,1,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",4.4,-122.7,127.1,,,0 0 0 0 0 0 0,,,,-0.1,,7.2,,-1.3,,-19.4,,-63.7,,-103.1,,-117.9
92,4237928,3233041,C1=CC=C(C(=C1)C2=NC3=CC=CC=C3C(=N2)N4C=CN=C4)C(F)(F)F,Active,65,,,decreasing,=,3.16e-07,-6.5,1.13,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-9,-117.2,108.1,,,0 0 0 0 0 0 0,,,,-10.2,,-12.4,,-29.8,,-78.1,,-105.2,,-114.1,,-117.8
93,4240160,3235266,COC1=CC=CC=C1C2=CC3=C(C=C2)N=CN=C3NCC4=CN=CC=C4,Active,61,,,decreasing,=,7.94e-07,-6.1,1,0.99,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",0.6,-119.9,120.5,,,0 0 0 0 0 0 0,,,,-3.3,,5.1,,-17.2,,-39.6,,-91.5,,-112.1,,-117.8
94,4238456,3233566,COCCN1C2=NC(=NC=C2N=C(C1=O)C3=CC=CC=C3)OC4=CC(=CC=C4)Cl,Active,60,,,decreasing,=,1e-06,-6,1,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-3.6,-120.4,116.8,,,0 0 0 0 0 0,,,,-4.4,,,,-13.1,,-40.2,,-86.5,,-110.2,,-117.8
95,4240410,3235515,COC1=NC=C2C(=N1)N(C(=O)C(=N2)C3=CC=CC=C3)CCC4=CC=CC=C4,Active,59,,,decreasing,=,1.26e-06,-5.9,1.25,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",0.2,-117.9,118.1,,,0 0 0 0 0 0,,,,-0.3,,,,-3.2,,-26,,-81.5,,-108.8,,-117.8
96,4240149,3235255,C1CC1N2C3=NC=NC=C3N=C(C2=O)C4=CC=CC=C4,Active,57,,,decreasing,=,2e-06,-5.7,0.8,0.99,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",4.3,-129.8,134,,,0 0 0 0 0 0,,,,4.3,,,,-8.5,,-21.5,,-72.6,,-103.4,,-117.8
97,4238852,3233960,COC1=CC=CC(=C1)C2=NC=CC(=N2)NCC3=CC=CC=C3,Active,63,,,decreasing,=,5.01e-07,-6.3,1.33,0.99,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",1.9,-118.4,120.2,,,0 0 0 0 0 0 0,,,,-2.8,,8.9,,-16.5,,-48.2,,-109.7,,-115.5,,-117.6
98,4238306,3233417,CC1=CC=CC=C1C2=NC3=CC=CC=C3C(=N2)NC4CC4,Active,63,,,decreasing,=,5.01e-07,-6.3,0.9,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",0.1,-119.3,119.4,,,0 0 0 0 0 0 0,,,,-3.3,,-4.5,,-20.2,,-57.5,,-94.1,,-112.8,,-117.5
99,8142898,5459517,C1C2=CC=CC=C2C3=C1C=C4C=C5C(=CC4=N3)OCO5,Active,63,,,decreasing,=,5.01e-07,-6.3,1.56,1,qHTS Primary,qHTS ECL - UPCMLD,QC'd byUPCMLD,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",1.2,-118.1,119.3,,,0 0 0 0 0 0,,,,,,3.1,,-12.3,,-49.4,,-110.5,,-116.3,,-117.5
100,4240120,3235226,CN(C)C1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=N2)NCCC4=CN=CN4,Active,62,,,decreasing,=,6.31e-07,-6.2,1,0.99,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",3.1,-115.2,118.3,,,0 0 0 0 0 0 0,,,,-5.8,,5.3,,-8.9,,-48.7,,-88.1,,-106.8,,-117.5
101,4238508,3233618,CNC1=NC(=NC2=CC=CC=C21)C3=CC=CC(=C3)C#N,Active,71,,,decreasing,=,7.94e-08,-7.1,1.42,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-0.2,-115.8,115.6,,,0 0 0 0 0 0 0,,,,-3.5,,-11.9,,-62,,-107.2,,-113.4,,-116,,-117.4
102,4240366,3235471,C1=CC=C2C(=C1)C(=NC(=N2)C3=CN=CC=C3)NCC4=CN=CC=C4,Active,65,,,decreasing,=,3.16e-07,-6.5,1.34,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-3.3,-115.6,112.3,,,0 0 0 0 0 0 0,,,,-4.2,,-3.2,,-22.1,,-76.4,,-104.7,,-113.9,,-117.2
103,4240091,729874,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC=CC=C3Cl)NCC4=CN=CC=C4,Active,62,,,decreasing,=,6.31e-07,-6.2,1,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-2.3,-116.6,114.3,,,0 0 0 0 0 0 0,,,,-5.9,,-2.9,,-17.9,,-50,,-91.3,,-110.1,,-117.2
104,4240388,3235493,COC1=CC=CC(=C1)C2=NC3=CC=CC=C3C(=N2)NC4=CC=NC=C4,Active,61,,,decreasing,=,7.94e-07,-6.1,1,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",5,-118.3,123.2,,,0 0 0 0 0 0 0,,,,1.5,,7.1,,-12,,-37.4,,-86.5,,-111,,-117.2
105,4238237,3233348,COC1=CC=C(C=C1)OC2=NC=C3C(=N2)N(C(=O)C(=N3)C4=CC=CC=C4)C5CC5,Active,60,,,decreasing,=,1e-06,-6,1.25,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-4.2,-118.2,114,,,0 0 0 0 0 0,,,,-4.9,,,,-8.2,,-36.4,,-90.4,,-111.8,,-117.2
106,4239573,3234680,CC1=CC(=CC=C1)CNC2=NC(=NC3=CC=CC=C32)C4=COC=C4,Active,59,,,decreasing,=,1.26e-06,-5.9,1.1,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-7.2,-117.5,110.2,,,0 0 0 0 0 0 0,,,,-13.2,,-4.1,,-11.2,,-35.1,,-78.8,,-107.8,,-117.2
107,4238690,3233799,CC1=CC(=CC=C1)CNC2=NC=NC=C2C3=CC(=CC=C3)OC,Active,57,,,decreasing,=,2e-06,-5.7,1.1,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-1,-117.5,116.5,,,0 0 0 0 0 0 0,,,,-3.1,,-1.3,,-3.2,,-20.2,,-63.3,,-100,,-117.2
108,4237508,3232621,C1OC2=C(O1)C=C(C=C2)C3=CC4=C(C=C3)N=CN=C4NCC5=CC=CS5,Active,64,,,decreasing,=,3.98e-07,-6.4,1.37,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",2.5,-118.3,120.8,,,0 0 0 0 0 0 0,,,,-0.6,,6.3,,-14.7,,-64.4,,-110.3,,-115.8,,-117.1
